"year","เดือน","วันที่","เซล","เขตการขาย","Segment","LastSegment","LastGroupCode","LastGroupOfDebt","ลูกค้า","รหัสหลัก","ชื่อหลัก","typecode","categorycode","formatcode","groupcode","Code","Name1","weight","จำนวน","UnitCode","Price","volume","TurnOver","DebtLimit1","DocDate","CreditDay","DocNo","taxNo","FOC","Period","Q","TYPE","หนี้ในเดือน","SumOfAmount","Email"
2026,1,6,"SUP : SUP","30 : อ.หนองบัว","2H : ร้านค้าส่ง 2W (WholeSale)","2H : ร้านค้าส่ง 2W (WholeSale)","WHOLESALE","WholeSale","205-800  บริษัท หนองบัวอะไหล่(2023) จำกัด","205-800","บริษัท หนองบัวอะไหล่(2023) จำกัด","MCO","MCO - 4T","ACTIV 4T","ACTIV 4T","3439390","ACTIV 4T 20W-40  12X1L F TH",$1.00,$15.00,"ล",$1300.00,$180.00,$18224.30,$200000.00,06-Jan-2026 0:00:00,15,"CR69322-16057","INV-69-00042","","P1","Q1","MCO","หนี้ในเดือน",$19500.00,"autopoom11@gmail.com"
2026,1,6,"SUP : SUP","30 : อ.หนองบัว","2H : ร้านค้าส่ง 2W (WholeSale)","2H : ร้านค้าส่ง 2W (WholeSale)","WHOLESALE","WholeSale","205-800  บริษัท หนองบัวอะไหล่(2023) จำกัด","205-800","บริษัท หนองบัวอะไหล่(2023) จำกัด","MCO","MCO - 4T","ACTIV 4T","ACTIV 4T","3439391","ACTIV 4T 20W40  12X0.8L  SN  R",$0.80,$15.00,"ล",$1095.00,$144.00,$15350.47,$200000.00,06-Jan-2026 0:00:00,15,"CR69322-16057","INV-69-00042","","P1","Q1","MCO","หนี้ในเดือน",$16425.00,"autopoom11@gmail.com"
2026,1,6,"SUP : SUP","30 : อ.หนองบัว","2H : ร้านค้าส่ง 2W (WholeSale)","2H : ร้านค้าส่ง 2W (WholeSale)","WHOLESALE","WholeSale","205-800  บริษัท หนองบัวอะไหล่(2023) จำกัด","205-800","บริษัท หนองบัวอะไหล่(2023) จำกัด","MCO","MCO - 4T","ACTIV 4T","ACTIV SCT","3438918","ACTIV AT 20W40 12X0.8L SN  R",$0.80,$5.00,"ล",$1275.00,$48.00,$5957.94,$200000.00,06-Jan-2026 0:00:00,15,"CR69322-16057","INV-69-00042","","P1","Q1","MCO","หนี้ในเดือน",$6375.00,"autopoom11@gmail.com"
2026,1,6,"SUP : SUP","33 : อ.เมือง นครสวรรค์","2H : ร้านค้าส่ง 2W (WholeSale)","2H : ร้านค้าส่ง 2W (WholeSale)","WHOLESALE","WholeSale","205-306  บริษัท แสงไทยมอเตอร์ จำกัด","205-306","บริษัท แสงไทยมอเตอร์ จำกัด","MCO","MCO - 2T","GO2T","2T-GO","3429277","GO!2T  12X1L. HL",$1.00,$1.00,"ล",$1215.00,$12.00,$1135.51,$100000.00,06-Jan-2026 0:00:00,15,"CR69322-16068","INV-69-00048","","P1","Q1","MCO","หนี้ในเดือน",$1215.00,"autopoom11@gmail.com"
2026,1,6,"SUP : SUP","33 : อ.เมือง นครสวรรค์","2H : ร้านค้าส่ง 2W (WholeSale)","2H : ร้านค้าส่ง 2W (WholeSale)","WHOLESALE","WholeSale","205-306  บริษัท แสงไทยมอเตอร์ จำกัด","205-306","บริษัท แสงไทยมอเตอร์ จำกัด","MCO","MCO - 4T","ACTIV 4T","ACTIV 4T","3439390","ACTIV 4T 20W-40  12X1L F TH",$1.00,$2.00,"ล",$1310.00,$24.00,$2448.60,$100000.00,06-Jan-2026 0:00:00,15,"CR69322-16068","INV-69-00048","","P1","Q1","MCO","หนี้ในเดือน",$2620.00,"autopoom11@gmail.com"
2026,1,6,"SUP : SUP","33 : อ.เมือง นครสวรรค์","2H : ร้านค้าส่ง 2W (WholeSale)","2H : ร้านค้าส่ง 2W (WholeSale)","WHOLESALE","WholeSale","205-306  บริษัท แสงไทยมอเตอร์ จำกัด","205-306","บริษัท แสงไทยมอเตอร์ จำกัด","MCO","MCO - 4T","ACTIV 4T","ACTIV 4T","3439391","ACTIV 4T 20W40  12X0.8L  SN  R",$0.80,$2.00,"ล",$1100.00,$19.20,$2056.07,$100000.00,06-Jan-2026 0:00:00,15,"CR69322-16068","INV-69-00048","","P1","Q1","MCO","หนี้ในเดือน",$2200.00,"autopoom11@gmail.com"
2026,1,6,"SUP : SUP","33 : อ.เมือง นครสวรรค์","2H : ร้านค้าส่ง 2W (WholeSale)","2H : ร้านค้าส่ง 2W (WholeSale)","WHOLESALE","WholeSale","205-306  บริษัท แสงไทยมอเตอร์ จำกัด","205-306","บริษัท แสงไทยมอเตอร์ จำกัด","MCO","MCO - 4T","ACTIV 4T","ACTIV SCT","3442841","ACTIV  AT 20W40+SGO  12X0.92L",$0.92,$2.00,"ล",$1540.00,$22.08,$2878.50,$100000.00,06-Jan-2026 0:00:00,15,"CR69322-16068","INV-69-00048","","P1","Q1","MCO","หนี้ในเดือน",$3080.00,"autopoom11@gmail.com"
2026,1,6,"SUP : SUP","33 : อ.เมือง นครสวรรค์","2H : ร้านค้าส่ง 2W (WholeSale)","2H : ร้านค้าส่ง 2W (WholeSale)","WHOLESALE","WholeSale","205-306  บริษัท แสงไทยมอเตอร์ จำกัด","205-306","บริษัท แสงไทยมอเตอร์ จำกัด","MCO","MCO - 4T","POWER1 4T","4T-PW","3439376","POWER1 4T 10W30 12X0.8L  SP R",$0.80,$2.00,"ล",$1430.00,$19.20,$2672.90,$100000.00,06-Jan-2026 0:00:00,15,"CR69322-16068","INV-69-00048","","P1","Q1","MCO","หนี้ในเดือน",$2860.00,"autopoom11@gmail.com"
2026,1,6,"SUP : SUP","33 : อ.เมือง นครสวรรค์","2H : ร้านค้าส่ง 2W (WholeSale)","2H : ร้านค้าส่ง 2W (WholeSale)","WHOLESALE","WholeSale","205-306  บริษัท แสงไทยมอเตอร์ จำกัด","205-306","บริษัท แสงไทยมอเตอร์ จำกัด","MCO","MCO - 4T","POWER1 4T","4T-PW SCT","3442715","POWER1 AT 10W40+SGO 12X0.92L",$0.92,$1.00,"ล",$2040.00,$11.04,$1906.54,$100000.00,06-Jan-2026 0:00:00,15,"CR69322-16068","INV-69-00048","","P1","Q1","MCO","หนี้ในเดือน",$2040.00,"autopoom11@gmail.com"
2026,1,6,"SUP : SUP","33 : อ.เมือง นครสวรรค์","4S : ร้านขายอะไหล่ - น้ำมันเครื่อง รถยนต์","4S : ร้านขายอะไหล่ - น้ำมันเครื่อง รถยนต์","SPARE",,"205-191  ร้าน ส.ชัยยนต์","205-191","ร้าน ส.ชัยยนต์","CTSP","CT","CT","CRB TURBO","3436197","CRB TM  20W50  CH4  18L  R",$18.00,$3.00,"ถ-18",$2210.00,$54.00,$6196.26,$150000.00,06-Jan-2026 0:00:00,30,"CR69322-16060","INV-69-00013","","P1","Q1","PCO","",$6630.00,"autopoom11@gmail.com"
2026,1,6,"SUP : SUP","33 : อ.เมือง นครสวรรค์","4S : ร้านขายอะไหล่ - น้ำมันเครื่อง รถยนต์","4S : ร้านขายอะไหล่ - น้ำมันเครื่อง รถยนต์","SPARE",,"205-191  ร้าน ส.ชัยยนต์","205-191","ร้าน ส.ชัยยนต์","CTSP","CT","CT","CRB TURBO","3436200","CRB TM 20W50 CH4 3X6P1L R",$7.00,$1.00,"ล",$2365.00,$21.00,$2210.28,$150000.00,06-Jan-2026 0:00:00,30,"CR69322-16060","INV-69-00013","","P1","Q1","PCO","",$2365.00,"autopoom11@gmail.com"
2026,1,6,"SUP : SUP","33 : อ.เมือง นครสวรรค์","4S : ร้านขายอะไหล่ - น้ำมันเครื่อง รถยนต์","4S : ร้านขายอะไหล่ - น้ำมันเครื่อง รถยนต์","SPARE",,"205-191  ร้าน ส.ชัยยนต์","205-191","ร้าน ส.ชัยยนต์","CTSP","SPECIAL","TRANS","MANL  TRAN","3435968","TRANSMAX MANUAL  80W90   18L R",$18.00,$1.00,"ถ-18",$1910.00,$18.00,$1785.05,$150000.00,06-Jan-2026 0:00:00,30,"CR69322-16060","INV-69-00013","","P1","Q1","PCO","",$1910.00,"autopoom11@gmail.com"
2026,1,6,"SUP : SUP","33 : อ.เมือง นครสวรรค์","4S : ร้านขายอะไหล่ - น้ำมันเครื่อง รถยนต์","4S : ร้านขายอะไหล่ - น้ำมันเครื่อง รถยนต์","SPARE",,"205-191  ร้าน ส.ชัยยนต์","205-191","ร้าน ส.ชัยยนต์","CTSP","SPECIAL","TRANS","MANL  TRAN","3435970","TRANSMAX  MANUAL  80W90  4X5 L  R",$5.00,$1.00,"ล",$2280.00,$20.00,$2130.84,$150000.00,06-Jan-2026 0:00:00,30,"CR69322-16060","INV-69-00013","","P1","Q1","PCO","",$2280.00,"autopoom11@gmail.com"
2026,1,6,"SUP : SUP","38 : อ.ลาดยาว","2H : ร้านค้าส่ง 2W (WholeSale)","2H : ร้านค้าส่ง 2W (WholeSale)","WHOLESALE","WholeSale","205-117  ร้านจักรพงษ์พาณิชย์","205-117","ร้านจักรพงษ์พาณิชย์","MCO","MCO - 2T","GO2T","2T-GO","3429278","GO!2T  12X0.5L. HL",$0.50,$3.00,"ล",$730.00,$18.00,$2046.73,$100000.00,06-Jan-2026 0:00:00,1,"CA69322-16065","INV-69-00025","","P1","Q1","MCO","หนี้ในเดือน",$2190.00,"autopoom11@gmail.com"
2026,1,6,"SUP : SUP","38 : อ.ลาดยาว","2H : ร้านค้าส่ง 2W (WholeSale)","2H : ร้านค้าส่ง 2W (WholeSale)","WHOLESALE","WholeSale","205-117  ร้านจักรพงษ์พาณิชย์","205-117","ร้านจักรพงษ์พาณิชย์","MCO","MCO - 4T","ACTIV 4T","ACTIV 4T","3439390","ACTIV 4T 20W-40  12X1L F TH",$1.00,$2.00,"ล",$1330.00,$24.00,$2485.98,$100000.00,06-Jan-2026 0:00:00,1,"CA69322-16065","INV-69-00025","","P1","Q1","MCO","หนี้ในเดือน",$2660.00,"autopoom11@gmail.com"
2026,1,6,"SUP : SUP","38 : อ.ลาดยาว","2H : ร้านค้าส่ง 2W (WholeSale)","2H : ร้านค้าส่ง 2W (WholeSale)","WHOLESALE","WholeSale","205-117  ร้านจักรพงษ์พาณิชย์","205-117","ร้านจักรพงษ์พาณิชย์","MCO","MCO - 4T","ACTIV 4T","ACTIV 4T","3439391","ACTIV 4T 20W40  12X0.8L  SN  R",$0.80,$3.00,"ล",$1120.00,$28.80,$3140.19,$100000.00,06-Jan-2026 0:00:00,1,"CA69322-16065","INV-69-00025","","P1","Q1","MCO","หนี้ในเดือน",$3360.00,"autopoom11@gmail.com"
2026,1,6,"SUP : SUP","38 : อ.ลาดยาว","2H : ร้านค้าส่ง 2W (WholeSale)","2H : ร้านค้าส่ง 2W (WholeSale)","WHOLESALE","WholeSale","205-117  ร้านจักรพงษ์พาณิชย์","205-117","ร้านจักรพงษ์พาณิชย์","MCO","MCO - 4T","ACTIV 4T","ACTIV SCT","3438918","ACTIV AT 20W40 12X0.8L SN  R",$0.80,$3.00,"ล",$1275.00,$28.80,$3574.77,$100000.00,06-Jan-2026 0:00:00,1,"CA69322-16065","INV-69-00025","","P1","Q1","MCO","หนี้ในเดือน",$3825.00,"autopoom11@gmail.com"
2026,1,6,"นครสวรรค์ 1 : มัดหมี่","25 : อ.พยุหะคีรี","2B-1 : BikePoint Option 1 (150L)","2B-1 : BikePoint Option 1 (150L)","BIKEPOINT",,"205-11  ร้านพะเยาว์จักรยาน","205-11","ร้านพะเยาว์จักรยาน","MCO","MCO - 4T","ACTIV 4T","ACTIV 4T","3439391","ACTIV 4T 20W40  12X0.8L  SN  R",$0.80,$1.00,"กป",$0.00,$0.80,$0.00,$40000.00,06-Jan-2026 0:00:00,30,"CR69374-18695","INV-69-00047","Y","P1","Q1","MCO","",$0.00,"dsr5nakhonsawan@gmail.com"
2026,1,6,"นครสวรรค์ 1 : มัดหมี่","25 : อ.พยุหะคีรี","2B-1 : BikePoint Option 1 (150L)","2B-1 : BikePoint Option 1 (150L)","BIKEPOINT",,"205-11  ร้านพะเยาว์จักรยาน","205-11","ร้านพะเยาว์จักรยาน","MCO","MCO - 4T","ACTIV 4T","ACTIV 4T","3439391","ACTIV 4T 20W40  12X0.8L  SN  R",$0.80,$4.00,"ล",$1164.00,$38.40,$4351.40,$40000.00,06-Jan-2026 0:00:00,30,"CR69374-18695","INV-69-00047","","P1","Q1","MCO","",$4656.00,"dsr5nakhonsawan@gmail.com"
2026,1,6,"นครสวรรค์ 1 : มัดหมี่","25 : อ.พยุหะคีรี","2B-1 : BikePoint Option 1 (150L)","2B-1 : BikePoint Option 1 (150L)","BIKEPOINT",,"205-11  ร้านพะเยาว์จักรยาน","205-11","ร้านพะเยาว์จักรยาน","MCO","MCO - 4T","ACTIV 4T","ACTIV SCT","3438918","ACTIV AT 20W40 12X0.8L SN  R",$0.80,$2.00,"ล",$1320.00,$19.20,$2467.29,$40000.00,06-Jan-2026 0:00:00,30,"CR69374-18695","INV-69-00047","","P1","Q1","MCO","",$2640.00,"dsr5nakhonsawan@gmail.com"
2026,1,6,"นครสวรรค์ 1 : มัดหมี่","25 : อ.พยุหะคีรี","2B-2 : BikePoint Option 2 (100L)","2B-2 : BikePoint Option 2 (100L)","BIKEPOINT",,"205-344  ช่างเอี่ยม(พยุหะคีรี)","205-344","ช่างเอี่ยม(พยุหะคีรี)","MCO","MCO - 4T","ACTIV 4T","ACTIV 4T","3439391","ACTIV 4T 20W40  12X0.8L  SN  R",$0.80,$1.00,"กป",$0.00,$0.80,$0.00,$40000.00,06-Jan-2026 0:00:00,30,"CR69374-18672","INV-69-00004","Y","P1","Q1","MCO","",$0.00,"dsr5nakhonsawan@gmail.com"
2026,1,6,"นครสวรรค์ 1 : มัดหมี่","25 : อ.พยุหะคีรี","2B-2 : BikePoint Option 2 (100L)","2B-2 : BikePoint Option 2 (100L)","BIKEPOINT",,"205-344  ช่างเอี่ยม(พยุหะคีรี)","205-344","ช่างเอี่ยม(พยุหะคีรี)","MCO","MCO - 4T","ACTIV 4T","ACTIV 4T","3439391","ACTIV 4T 20W40  12X0.8L  SN  R",$0.80,$2.00,"ล",$1164.00,$19.20,$2175.70,$40000.00,06-Jan-2026 0:00:00,30,"CR69374-18672","INV-69-00004","","P1","Q1","MCO","",$2328.00,"dsr5nakhonsawan@gmail.com"
2026,1,6,"นครสวรรค์ 1 : มัดหมี่","25 : อ.พยุหะคีรี","2B-2 : BikePoint Option 2 (100L)","2B-2 : BikePoint Option 2 (100L)","BIKEPOINT",,"205-344  ช่างเอี่ยม(พยุหะคีรี)","205-344","ช่างเอี่ยม(พยุหะคีรี)","MCO","MCO - 4T","ACTIV 4T","ACTIV SCT","3438918","ACTIV AT 20W40 12X0.8L SN  R",$0.80,$2.00,"ล",$1320.00,$19.20,$2467.29,$40000.00,06-Jan-2026 0:00:00,30,"CR69374-18672","INV-69-00004","","P1","Q1","MCO","",$2640.00,"dsr5nakhonsawan@gmail.com"
2026,1,6,"นครสวรรค์ 1 : มัดหมี่","25 : อ.พยุหะคีรี","2B-2 : BikePoint Option 2 (100L)","2B-2 : BikePoint Option 2 (100L)","BIKEPOINT",,"205-344  ช่างเอี่ยม(พยุหะคีรี)","205-344","ช่างเอี่ยม(พยุหะคีรี)","MCO","MCO - 4T","POWER1 4T","4T-PW","3442232","POWER1 4T 10W-40  12X0.8L N",$0.80,$1.00,"ล",$1512.00,$9.60,$1413.08,$40000.00,06-Jan-2026 0:00:00,30,"CR69374-18672","INV-69-00004","","P1","Q1","MCO","",$1512.00,"dsr5nakhonsawan@gmail.com"
2026,1,6,"นครสวรรค์ 1 : มัดหมี่","25 : อ.พยุหะคีรี","2I : ร้านซ่อมมอเตอร์ไซด์ทั่วไป(Independent WorkShop)","2I : ร้านซ่อมมอเตอร์ไซด์ทั่วไป(Independent WorkShop)","MCO",,"113-1969  ไพรัชการช่าง","113-1969","ไพรัชการช่าง","MCO","MCO - 4T","POWER1 4T","4T-PW","3439376","POWER1 4T 10W30 12X0.8L  SP R",$0.80,$1.00,"ล",$1497.00,$9.60,$1399.07,$0.00,06-Jan-2026 0:00:00,1,"CA69373-18632","INV-69-00021","","P1","Q1","MCO","หนี้ในเดือน",$1497.00,"dsr5nakhonsawan@gmail.com"
2026,1,6,"นครสวรรค์ 1 : มัดหมี่","25 : อ.พยุหะคีรี","4A-E : CAS Express (250L)","4A-E : CAS Express (250L)","AUTOSERVIC","Express","113-1939  สไปร์ทคาร์แคร์","113-1939","สไปร์ทคาร์แคร์","PCO","PCO - CTL","MAG","MAG-PU","3439595","MAGNATEC  PU 10W30  3X6P1L FS  R",$7.00,$1.00,"ล",$3441.00,$21.00,$3215.89,$20000.00,06-Jan-2026 0:00:00,7,"CA69374-18692","INV-69-00050","","P1","Q1","PCO","หนี้ในเดือน",$3441.00,"dsr5nakhonsawan@gmail.com"
2026,1,6,"นครสวรรค์ 1 : มัดหมี่","33 : อ.เมือง นครสวรรค์","2B-1 : BikePoint Option 1 (150L)","2B-1 : BikePoint Option 1 (150L)","BIKEPOINT",,"205-323  ร้านศรียานยนต์","205-323","ร้านศรียานยนต์","MCO","MCO - 4T","POWER1 4T","4T-PW","3439376","POWER1 4T 10W30 12X0.8L  SP R",$0.80,$1.00,"ล",$1512.00,$9.60,$1413.08,$20000.00,06-Jan-2026 0:00:00,30,"CR69374-18654","INV-69-00014","","P1","Q1","MCO","",$1512.00,"dsr5nakhonsawan@gmail.com"
2026,1,6,"นครสวรรค์ 1 : มัดหมี่","33 : อ.เมือง นครสวรรค์","2B-1 : BikePoint Option 1 (150L)","2B-1 : BikePoint Option 1 (150L)","BIKEPOINT",,"205-586  วิทยามอเตอร์","205-586","วิทยามอเตอร์","MCO","MCO - 4T","POWER1 4T","4T-PW RAC","3440472","POWER1  UL  AT 5W40  12X1L",$1.00,$4.00,"กป",$265.00,$4.00,$990.65,$20000.00,06-Jan-2026 0:00:00,30,"CR69374-18659","INV-69-00008","","P1","Q1","MCO","",$1060.00,"dsr5nakhonsawan@gmail.com"
2026,1,6,"นครสวรรค์ 1 : มัดหมี่","33 : อ.เมือง นครสวรรค์","2B-2 : BikePoint Option 2 (100L)","2B-2 : BikePoint Option 2 (100L)","BIKEPOINT",,"113-1366  ช่างเลิศ","113-1366","ช่างเลิศ","MCO","MCO - 4T","ACTIV 4T","ACTIV 4T","3439391","ACTIV 4T 20W40  12X0.8L  SN  R",$0.80,$1.00,"ล",$1152.00,$9.60,$1076.64,$0.00,06-Jan-2026 0:00:00,1,"CA69374-18686","INV-69-00027","","P1","Q1","MCO","หนี้ในเดือน",$1152.00,"dsr5nakhonsawan@gmail.com"
2026,1,6,"นครสวรรค์ 1 : มัดหมี่","33 : อ.เมือง นครสวรรค์","2B-2 : BikePoint Option 2 (100L)","2B-2 : BikePoint Option 2 (100L)","BIKEPOINT",,"113-1463  ช่างเสกสันต์","113-1463","ช่างเสกสันต์","MCO","MCO - 4T","ACTIV 4T","ACTIV 4T","3439391","ACTIV 4T 20W40  12X0.8L  SN  R",$0.80,$1.00,"ล",$1152.00,$9.60,$1076.64,$0.00,06-Jan-2026 0:00:00,1,"CA69374-18683","INV-69-00028","","P1","Q1","MCO","หนี้ในเดือน",$1152.00,"dsr5nakhonsawan@gmail.com"
2026,1,6,"นครสวรรค์ 1 : มัดหมี่","33 : อ.เมือง นครสวรรค์","2B-2 : BikePoint Option 2 (100L)","2B-2 : BikePoint Option 2 (100L)","BIKEPOINT",,"113-1463  ช่างเสกสันต์","113-1463","ช่างเสกสันต์","MCO","MCO - 4T","ACTIV 4T","ACTIV SCT","3442841","ACTIV  AT 20W40+SGO  12X0.92L",$0.92,$1.00,"ล",$1592.00,$11.04,$1487.85,$0.00,06-Jan-2026 0:00:00,1,"CA69374-18683","INV-69-00028","","P1","Q1","MCO","หนี้ในเดือน",$1592.00,"dsr5nakhonsawan@gmail.com"
2026,1,6,"นครสวรรค์ 1 : มัดหมี่","33 : อ.เมือง นครสวรรค์","2B-2 : BikePoint Option 2 (100L)","2B-2 : BikePoint Option 2 (100L)","BIKEPOINT",,"113-1671  แก้วการช่าง","113-1671","แก้วการช่าง","MCO","MCO - 4T","ACTIV 4T","ACTIV 4T","3439391","ACTIV 4T 20W40  12X0.8L  SN  R",$0.80,$1.00,"ล",$1164.00,$9.60,$1087.85,$0.00,06-Jan-2026 0:00:00,10,"CR69374-18662","INV-69-00010","","P1","Q1","MCO","หนี้ในเดือน",$1164.00,"dsr5nakhonsawan@gmail.com"
2026,1,6,"นครสวรรค์ 1 : มัดหมี่","33 : อ.เมือง นครสวรรค์","2B-2 : BikePoint Option 2 (100L)","2B-2 : BikePoint Option 2 (100L)","BIKEPOINT",,"205-23  ร้านผ่องโมดิฟาย","205-23","ร้านผ่องโมดิฟาย","MCO","MCO - 4T","ACTIV 4T","ACTIV SCT","3442841","ACTIV  AT 20W40+SGO  12X0.92L",$0.92,$1.00,"ล",$1608.00,$11.04,$1502.80,$10000.00,06-Jan-2026 0:00:00,30,"CR69374-18652","INV-69-00016","","P1","Q1","MCO","",$1608.00,"dsr5nakhonsawan@gmail.com"
